row_id,HomePlanet,Destination,CryoSleep,Age,VIP,TotalSpent,HasGroup,Deck,Side,Transported
0,1.0,2.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,False
1,0.0,2.0,0.0,24.0,0.0,736.0,0.0,5.0,1.0,True
2,1.0,2.0,0.0,58.0,1.0,10383.0,1.0,0.0,1.0,False
3,1.0,2.0,0.0,33.0,0.0,5176.0,1.0,0.0,1.0,False
4,0.0,2.0,0.0,16.0,0.0,1091.0,0.0,5.0,1.0,True
5,0.0,1.0,0.0,44.0,0.0,774.0,0.0,5.0,0.0,True
6,0.0,2.0,0.0,26.0,0.0,1584.0,1.0,5.0,1.0,True
7,0.0,2.0,1.0,28.0,0.0,0.0,1.0,6.0,1.0,True
8,0.0,2.0,0.0,35.0,0.0,1018.0,0.0,5.0,1.0,True
9,1.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,0.0,True
10,1.0,2.0,1.0,34.0,0.0,0.0,1.0,1.0,0.0,True
11,1.0,0.0,0.0,45.0,0.0,8157.0,1.0,1.0,0.0,True
12,2.0,2.0,0.0,32.0,0.0,1309.0,0.0,5.0,0.0,True
13,0.0,2.0,0.0,48.0,0.0,809.0,0.0,6.0,1.0,False
14,0.0,2.0,0.0,28.0,0.0,1003.0,0.0,5.0,0.0,True
15,0.0,2.0,0.0,31.0,0.0,908.0,0.0,5.0,0.0,False
16,2.0,0.0,0.0,27.0,0.0,2663.0,0.0,5.0,0.0,False
17,0.0,0.0,0.0,24.0,0.0,638.0,0.0,5.0,0.0,False
18,2.0,2.0,1.0,45.0,0.0,0.0,0.0,5.0,0.0,True
19,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,True
20,0.0,0.0,0.0,14.0,0.0,1092.0,1.0,5.0,0.0,False
21,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,False
22,0.0,0.0,1.0,49.0,0.0,0.0,1.0,4.0,1.0,False
23,0.0,0.0,1.0,29.0,0.0,0.0,1.0,4.0,1.0,False
24,0.0,2.0,0.0,10.0,0.0,0.0,1.0,4.0,1.0,True
25,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,False
26,0.0,2.0,0.0,7.0,0.0,0.0,1.0,4.0,1.0,False
27,2.0,2.0,0.0,21.0,0.0,1051.0,0.0,3.0,0.0,False
28,1.0,2.0,1.0,62.0,0.0,0.0,0.0,2.0,1.0,True
29,0.0,2.0,0.0,15.0,0.0,1223.0,0.0,5.0,1.0,False
30,1.0,0.0,0.0,34.0,0.0,7861.0,0.0,2.0,0.0,False
31,2.0,2.0,0.0,43.0,0.0,1309.0,0.0,5.0,0.0,False
32,0.0,2.0,0.0,32.0,0.0,1821.0,0.0,6.0,1.0,False
33,2.0,2.0,0.0,47.0,0.0,2854.0,1.0,5.0,0.0,True
34,2.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,True
35,2.0,2.0,0.0,20.0,0.0,0.0,1.0,5.0,0.0,True
36,1.0,0.0,1.0,28.0,0.0,0.0,0.0,3.0,1.0,True
37,2.0,0.0,0.0,23.0,0.0,2699.0,0.0,3.0,0.0,False
38,0.0,0.0,0.0,15.0,0.0,961.0,0.0,5.0,1.0,False
39,0.0,0.0,0.0,20.0,0.0,3355.0,0.0,5.0,1.0,False
40,0.0,0.0,1.0,30.0,0.0,0.0,0.0,6.0,0.0,False
41,0.0,2.0,1.0,17.0,0.0,0.0,0.0,6.0,0.0,True
42,1.0,2.0,0.0,45.0,0.0,3575.0,0.0,1.0,0.0,False
43,0.0,2.0,1.0,55.0,0.0,0.0,1.0,6.0,0.0,False
44,0.0,0.0,1.0,4.0,0.0,0.0,1.0,6.0,0.0,True
45,0.0,1.0,1.0,21.0,0.0,0.0,1.0,6.0,0.0,True
46,2.0,2.0,0.0,21.0,0.0,1214.0,1.0,5.0,0.0,False
47,2.0,2.0,1.0,19.0,0.0,0.0,1.0,5.0,0.0,True
48,0.0,0.0,0.0,35.0,0.0,1609.0,0.0,4.0,1.0,False
49,0.0,2.0,0.0,56.0,0.0,1618.0,0.0,4.0,1.0,False
50,0.0,2.0,0.0,55.0,0.0,4689.0,0.0,6.0,1.0,False
51,0.0,2.0,0.0,25.0,0.0,1939.0,0.0,5.0,1.0,True
52,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,True
53,1.0,2.0,1.0,38.0,0.0,0.0,1.0,0.0,1.0,True
54,1.0,2.0,0.0,27.0,0.0,4547.0,1.0,0.0,1.0,True
55,0.0,1.0,1.0,36.0,0.0,0.0,0.0,6.0,1.0,False
56,0.0,2.0,0.0,22.0,0.0,2667.0,0.0,5.0,1.0,False
57,0.0,2.0,0.0,62.0,0.0,634.0,0.0,5.0,1.0,False
58,2.0,2.0,1.0,15.0,0.0,0.0,1.0,5.0,1.0,True
59,2.0,2.0,1.0,33.0,0.0,0.0,1.0,4.0,1.0,True
60,0.0,2.0,0.0,62.0,0.0,811.0,0.0,6.0,0.0,False
61,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,True
62,0.0,2.0,0.0,18.0,0.0,705.0,1.0,6.0,1.0,True
63,0.0,0.0,0.0,21.0,0.0,2007.0,1.0,5.0,1.0,False
64,2.0,2.0,0.0,37.0,0.0,1048.0,0.0,4.0,1.0,False
65,0.0,2.0,0.0,42.0,0.0,902.0,0.0,5.0,1.0,True
66,0.0,2.0,0.0,19.0,0.0,922.0,0.0,5.0,0.0,False
67,0.0,2.0,0.0,17.0,0.0,2233.0,0.0,5.0,0.0,False
68,0.0,2.0,0.0,14.0,0.0,1064.0,0.0,5.0,1.0,False
69,2.0,1.0,0.0,37.0,0.0,879.0,0.0,3.0,0.0,False
70,1.0,2.0,0.0,42.0,0.0,8904.0,0.0,2.0,1.0,True
71,2.0,2.0,0.0,27.0,0.0,1165.0,0.0,5.0,1.0,True
72,2.0,2.0,0.0,28.0,0.0,1309.0,0.0,5.0,0.0,True
73,1.0,2.0,0.0,38.0,0.0,15815.0,0.0,2.0,1.0,False
74,0.0,2.0,1.0,13.0,0.0,0.0,0.0,6.0,1.0,False
75,2.0,2.0,0.0,42.0,0.0,7406.0,1.0,5.0,0.0,False
76,2.0,2.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,True
77,2.0,2.0,0.0,8.0,0.0,0.0,1.0,5.0,0.0,True
78,0.0,2.0,0.0,24.0,0.0,705.0,0.0,6.0,1.0,True
79,1.0,2.0,1.0,40.0,0.0,0.0,0.0,2.0,1.0,True
80,0.0,2.0,0.0,43.0,0.0,1362.0,0.0,5.0,0.0,False
81,2.0,1.0,1.0,45.0,0.0,0.0,0.0,4.0,1.0,True
82,0.0,2.0,1.0,35.0,0.0,0.0,0.0,6.0,1.0,True
83,0.0,2.0,1.0,26.0,0.0,0.0,1.0,6.0,1.0,True
84,0.0,2.0,0.0,27.0,0.0,917.0,1.0,5.0,1.0,False
85,0.0,2.0,0.0,19.0,0.0,705.0,1.0,6.0,0.0,False
86,0.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,True
87,0.0,2.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,True
88,1.0,2.0,0.0,54.0,0.0,1848.0,0.0,0.0,1.0,False
89,0.0,2.0,0.0,26.0,0.0,893.0,1.0,6.0,0.0,False
90,0.0,2.0,0.0,26.0,0.0,3855.0,1.0,6.0,0.0,True
91,0.0,1.0,0.0,23.0,0.0,1301.0,1.0,5.0,0.0,False
92,0.0,2.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,True
93,2.0,2.0,1.0,31.0,0.0,0.0,0.0,5.0,1.0,True
94,0.0,2.0,0.0,18.0,0.0,921.0,0.0,5.0,1.0,False
95,0.0,2.0,0.0,24.0,0.0,804.0,1.0,5.0,1.0,True
96,0.0,0.0,1.0,9.0,0.0,0.0,1.0,6.0,1.0,True
97,0.0,2.0,1.0,6.0,0.0,0.0,1.0,6.0,1.0,False
98,0.0,2.0,0.0,27.0,0.0,703.0,0.0,5.0,0.0,False
99,2.0,2.0,0.0,21.0,0.0,1765.0,0.0,3.0,1.0,False
100,0.0,2.0,1.0,23.0,0.0,0.0,1.0,6.0,1.0,False
101,0.0,2.0,0.0,31.0,0.0,888.0,1.0,6.0,1.0,False
102,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,True
103,1.0,2.0,0.0,32.0,0.0,5109.0,1.0,4.0,1.0,False
104,1.0,2.0,0.0,40.0,0.0,2018.0,1.0,1.0,0.0,False
105,1.0,2.0,0.0,42.0,0.0,15940.0,1.0,1.0,0.0,True
